survey_id,response_id,registered,propensity,pres,gov,sen,party_reg,gender,age,hisp,race,educ,pres16,house18,county
SV_6tbzcMgiF3B4MxD,R_1K1JhUWFuAdNmVn,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,48,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Guilford
SV_6tbzcMgiF3B4MxD,R_1d0OZ4QZ4LOixLp,Yes,I am likely to vote,,"Roy Cooper, the Democrat",Some other candidate,Republican,Female,58,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Alamance
SV_6tbzcMgiF3B4MxD,R_2fv5DllcDLp34W5,,I am likely to vote,Some other candidate,"Dan Forest, the Republican",Some other candidate,Republican,Male,77,Yes,American Indian or Alaska Native,High school degree or equivalent (e.g. GED),Someone else,The Democratic party candidate,Buncombe
SV_6tbzcMgiF3B4MxD,R_3GvKnt4l1RzSKD2,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,34,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Did not vote,Union
SV_6tbzcMgiF3B4MxD,R_3KGBoRoB4qTxJ9F,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,65,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Guilford
SV_6tbzcMgiF3B4MxD,R_2PbQSMlHkidWojT,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,48,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Buncombe
SV_6tbzcMgiF3B4MxD,R_24qoZVXYjtD0I4V,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,50,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Washington
SV_6tbzcMgiF3B4MxD,R_ywHrR2JLdLh4wtr,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat",Undecided,Democratic,Female,31,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Onslow
SV_6tbzcMgiF3B4MxD,R_1gAe1OSnusS5wF0,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,55,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_6tbzcMgiF3B4MxD,R_2R4vxilmnro9cAq,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,"Cal Cunningham, the Democrat",Republican,Male,31,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Iredell
