survey_id,response_id,start_date,duration,lat,long,random_id,state
SV_3WunfJOVGncwpE1,R_3MgkzDMGAW6qIDf,12-Aug-20,00:01:36,35.12939453,-78.89820099,63335,North Carolina
SV_3WunfJOVGncwpE1,R_3CBMRkzwrgRWzw6,12-Aug-20,00:02:21,35.05969238,-79.00579834,67053,North Carolina
SV_3WunfJOVGncwpE1,R_DzZfNl7UkHymDUR,12-Aug-20,00:05:18,37.75100708,-97.8219986,81369,State Not Found
SV_3WunfJOVGncwpE1,R_21zUmyypw29jjid,12-Aug-20,00:02:31,35.11500549,-80.70610046,98560,North Carolina
SV_3WunfJOVGncwpE1,R_2VvBi1CFDKBTgjb,12-Aug-20,00:00:53,35.91850281,-80.53869629,21606,North Carolina
SV_3WunfJOVGncwpE1,R_e2tQ0BPgeczfyKd,12-Aug-20,00:03:00,34.0493927,-118.2640991,50166,California
SV_3WunfJOVGncwpE1,R_3dEWji3P85K0R0D,12-Aug-20,00:01:46,38.90910339,-77.02030182,49194,Washington
SV_3WunfJOVGncwpE1,R_3L6yZLb44EygzyW,12-Aug-20,00:01:08,36.03219604,-79.8588028,27067,North Carolina
SV_3WunfJOVGncwpE1,R_2zGZLDsEbp8tCxm,12-Aug-20,00:00:54,35.90100098,-81.21340179,21085,North Carolina
SV_3WunfJOVGncwpE1,R_1CJyhOpGWgFlOdj,12-Aug-20,00:00:58,36.1053009,-79.87619781,21324,North Carolina
SV_6tbzcMgiF3B4MxD,R_6nkdmW7Ji6WrxwB,17-Aug-20,00:51:58,NA,NA,20993,State Not Found
SV_6tbzcMgiF3B4MxD,R_3me15fggvDxDcwr,17-Aug-20,00:01:20,35.19360352,-80.68650055,27190,North Carolina
SV_6tbzcMgiF3B4MxD,R_Tke2qIImbp9JDt7,17-Aug-20,00:07:50,36.35740662,-78.39420319,73822,North Carolina
SV_6tbzcMgiF3B4MxD,R_1hYKXu1NAQXmFdq,17-Aug-20,00:01:25,39.01690674,-94.31369781,97850,Missouri
SV_6tbzcMgiF3B4MxD,R_bronRpMIUR0qUVP,17-Aug-20,00:08:41,NA,NA,93211,State Not Found
SV_6tbzcMgiF3B4MxD,R_2SIgwjBqZcZn3Me,17-Aug-20,00:02:01,35.50549316,-82.99120331,15089,North Carolina
SV_6tbzcMgiF3B4MxD,R_1dv15AybF6jrCCA,17-Aug-20,00:01:42,NA,NA,49325,State Not Found
SV_6tbzcMgiF3B4MxD,R_UbYswgDjVqiv1rX,17-Aug-20,00:00:33,35.57460022,-80.8234024,66939,North Carolina
SV_6tbzcMgiF3B4MxD,R_73DfMHGInz7PO5X,17-Aug-20,00:00:46,33.74850464,-84.38710022,14429,Georgia
SV_6tbzcMgiF3B4MxD,R_3ls1zAlW18zvfA5,17-Aug-20,00:00:56,35.48750305,-81.17549896,68534,North Carolina
SV_6tbzcMgiF3B4MxD,R_2xzuTPlK6LCE057,17-Aug-20,00:01:13,35.24940491,-81.3812027,97543,North Carolina
SV_6tbzcMgiF3B4MxD,R_yHLRF4OVT0dNf2N,17-Aug-20,00:00:34,42.72869873,-71.18340302,97967,Massachusetts
SV_6tbzcMgiF3B4MxD,R_bIRr9LyKXpJxprr,17-Aug-20,00:01:29,34.7769928,-77.37689972,31083,North Carolina
SV_6tbzcMgiF3B4MxD,R_1LXP5F12riboN7E,17-Aug-20,00:01:04,41.70880127,-85.97599792,67326,Indiana
SV_6tbzcMgiF3B4MxD,R_31AzvkI6gZLqcWg,17-Aug-20,00:01:09,40.78759766,-74.05999756,14883,New Jersey
SV_6tbzcMgiF3B4MxD,R_wO74AFL4fi29SCd,17-Aug-20,00:00:25,34.62579346,-79.00150299,42206,North Carolina
SV_6tbzcMgiF3B4MxD,R_sOva4kOROsc1lN7,17-Aug-20,00:01:13,NA,NA,30681,State Not Found
SV_6tbzcMgiF3B4MxD,R_3CsiKxO0lYpYknv,17-Aug-20,00:01:18,35.99040222,-77.84680176,74591,North Carolina
SV_6tbzcMgiF3B4MxD,R_3oQRs1v77v7Jq8s,17-Aug-20,00:00:48,40.18339539,-83.09120178,44373,Ohio
SV_6tbzcMgiF3B4MxD,R_3qL4vh6Lnhe0xbX,17-Aug-20,00:01:58,NA,NA,24181,State Not Found
SV_6tbzcMgiF3B4MxD,R_erqy1bf8OIwnUhH,17-Aug-20,00:00:59,NA,NA,20864,State Not Found
SV_6tbzcMgiF3B4MxD,R_PLGI3wK9cTkhsUp,17-Aug-20,01:06:51,NA,NA,95241,State Not Found
SV_6tbzcMgiF3B4MxD,R_1r2N9GISIPsLy2h,17-Aug-20,00:01:40,36.02290344,-78.9464035,13180,North Carolina
SV_6tbzcMgiF3B4MxD,R_10usrrS7H19IpgD,17-Aug-20,00:00:36,36.50019836,-80.61630249,84904,North Carolina
SV_6tbzcMgiF3B4MxD,R_5AyBBQTXTr8qPgR,17-Aug-20,00:01:03,36.03900146,-78.87799835,99005,North Carolina
SV_6tbzcMgiF3B4MxD,R_1rwEO9yirHI19gr,17-Aug-20,00:01:00,35.71780396,-78.84279633,87295,North Carolina
SV_6tbzcMgiF3B4MxD,R_1lluzrTr9huAzOm,16-Aug-20,00:01:39,35.02209473,-80.53179932,39383,North Carolina
SV_6tbzcMgiF3B4MxD,R_2ScRvge11nXPUJu,16-Aug-20,00:03:10,35.76330566,-78.70999908,52270,North Carolina
SV_6tbzcMgiF3B4MxD,R_25EqQ3yn519kyrx,16-Aug-20,00:00:53,40.54469299,-105.1069031,16219,Colorado
SV_6tbzcMgiF3B4MxD,R_3GwwJLRK3tr1KMM,16-Aug-20,00:00:56,36.02290344,-78.9464035,54118,North Carolina
SV_6tbzcMgiF3B4MxD,R_1r2koa89mmq4iGs,16-Aug-20,00:01:04,35.2368927,-80.89569855,70894,North Carolina
SV_6tbzcMgiF3B4MxD,R_2wtsc1faqkotjEe,16-Aug-20,00:01:05,34.98789978,-79.21690369,31740,North Carolina
SV_6tbzcMgiF3B4MxD,R_tLhMGlBIdHlJHwZ,16-Aug-20,00:01:21,37.75100708,-97.8219986,17716,State Not Found
SV_6tbzcMgiF3B4MxD,R_2QmIwBADSGYFsiP,16-Aug-20,00:01:23,35.1829071,-83.3864975,22448,North Carolina
SV_6tbzcMgiF3B4MxD,R_1QbeRRI1LGYkuV3,16-Aug-20,00:01:21,35.07420349,-78.96499634,79344,North Carolina
SV_6tbzcMgiF3B4MxD,R_OjpPGdPDJrI4xNf,16-Aug-20,00:01:02,35.19360352,-80.68650055,76253,North Carolina
SV_6tbzcMgiF3B4MxD,R_302ngDRlX3AHNOb,16-Aug-20,00:01:26,35.98249817,-78.53759766,96169,North Carolina
SV_6tbzcMgiF3B4MxD,R_sh4lKK25DDLNoGt,16-Aug-20,00:00:51,37.75100708,-97.8219986,25344,State Not Found
SV_6tbzcMgiF3B4MxD,R_3QDzG4RMFqdlNUm,16-Aug-20,00:00:44,35.50549316,-82.99120331,50022,North Carolina
SV_6tbzcMgiF3B4MxD,R_2YlamMi6WGXtoID,16-Aug-20,00:01:03,35.91850281,-80.53869629,10860,North Carolina
